contextRef,count
P01_01_2021To12_31_2021_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_USsrtStatementGeographicalAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis_USsrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_USsrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis_USsrtStatementGeographicalAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_USsrtStatementGeographicalAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis_USsrtStatementGeographicalAxis,1
P01_01_2021To12_31_2021_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2019To12_31_2019_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2021To12_31_2021_OptionsAndSarsIssuedAndOutstandingMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2020To12_31_2020_OptionsAndSarsIssuedAndOutstandingMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
PAsOn12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2019To12_31_2019_OptionsAndSarsIssuedAndOutstandingMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2021To12_31_2021_RestrictedStockUnitsRSUMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2020To12_31_2020_RestrictedStockUnitsRSUMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2021To12_31_2021_WarrantMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2020To12_31_2020_WarrantMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2019To12_31_2019_WarrantMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2020To12_31_2020_GrowthUnitsOutstandingMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2019To12_31_2019_RedeemableConvertiblePreferredStockMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
