contextRef,entity_identifier,period_start,period_end,instant
ic6f1811b252f406ab2f46c39b7b68f04_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i716dec28411d47049906771c8e317f4d_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i007075737b3d4e59a7f18ee508434e8b_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
iac3d2820861e4145a626a791e7b35ebb_I20200926,0000320193,,,2020-09-26
ib8d66badd4e94927af1fe7890e48f7d1_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i3ed3937d483d4c6c9ee78ac391cb912e_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ia0c3292092994d3daf53ddafce707011_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i318bed47af254297ad7cd9b910a48116_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ief7d59c19e0b4a25b1f17ded646a6db7_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i43acc90ce9af494eb1ffbe949e36de43_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i6d015ff3f5854c3bac8cf907d0fd8b50_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i58ec8df4adc5414f88ad2dc3115ad61b_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i1a5baae4029f4fcf88d81fc6b84edeec_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ibed83bc75a8b4928af64ea109ccf8476_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i1ba60f1f7c164604bca38603b721fda4_I20180929,0000320193,,,2018-09-29
i5a7113816dd4425ea2a256bb6f8b6f56_I20180929,0000320193,,,2018-09-29
ied4170aec2ae45779c9d5f2390a65547_I20180929,0000320193,,,2018-09-29
i64b8e96f14ec4099af678b954ba938fd_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i9cd280a0e98a482ebc13a6606d990237_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
iecae0d4e443144d18a7d7a38ba5f5163_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i5b73fd86a54a4dd486e4fefe6fd12786_I20180929,0000320193,,,2018-09-29
i38e2ae63ce0a45b297f862808e4fbc2f_I20180929,0000320193,,,2018-09-29
i1abfad3eec1c4e1bbdc68fa971ec548b_I20180929,0000320193,,,2018-09-29
i631ed1f56ea648038f52cf5b8595eba6_I20190928,0000320193,,,2019-09-28
icd9b73f37db04005beba184bf85dc574_I20190928,0000320193,,,2019-09-28
i06144112315445a28edb8d17f85e62d7_I20190928,0000320193,,,2019-09-28
i9b7149380446404e81999547ebd0589b_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
if61af9fd78b34cf98824ba39e523bb72_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i41a4452ac215488699beb71846a95e44_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ie9896daef201456ba9531aa30043d5b0_I20190928,0000320193,,,2019-09-28
i9d99710195274599b1291fd99a0a8267_I20190928,0000320193,,,2019-09-28
i3a81cd76f1004d5c9970d02b3c967050_I20190928,0000320193,,,2019-09-28
ic7d87abd7ec245a08ab2bc7b5f3e8679_I20200926,0000320193,,,2020-09-26
id330f68466bd42bcaebbd331f382e447_I20200926,0000320193,,,2020-09-26
i9470ea698e6e4f5682e589cc9c244672_I20200926,0000320193,,,2020-09-26
i8b260167354448fe91f5c41d46cc0d7c_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i8618b738f3744158b01d7e9972b525e6_I20190329,0000320193,,,2019-03-29
iafb5521af3c74bbc90ab5bbfecc99109_I20200926,0000320193,,,2020-09-26
i801608c192a446a6a7c8465e4f68c847_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ifafad7faf8c140659924c853eb93ac8f_I20200926,0000320193,,,2020-09-26
icc47dd7e429e4953979b1a68b5a1c5e7_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i77c170745ca54747a3f916c825cc2bd3_I20200926,0000320193,,,2020-09-26
i3eaaf292e7014b8ea16c50ec0f406386_I20170930,0000320193,,,2017-09-30
i52572d726eb54867ad225a8a0ac8eae8_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
if5b2f03bd71d4df8a115a413e7a978a3_I20180929,0000320193,,,2018-09-29
ia72721ff8b0a4598bea8b4af0300ca2a_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
icd11934553994f198794600c8faa5f76_I20190928,0000320193,,,2019-09-28
iab32a131bd3b4b6cb9ecdce9b30c4908_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i00d3ff7c9f024e0d827dff00b86fc67c_I20200926,0000320193,,,2020-09-26
ia266f4c7c45641588c821e36f64c7b3c_D20180411-20180411,0000320193,2018-04-11,2018-04-11,
idb1b20c8dd00488490e073f0c2b8fe4c_D20200228-20200228,0000320193,2020-02-28,2020-02-28,
i0ce502f4824c46ea9b83780d67f0c66d_D20200228-20200228,0000320193,2020-02-28,2020-02-28,
i9e95f28455064540a74227739eae9dee_D20200316-20200316,0000320193,2020-03-16,2020-03-16,
iccc6235b83a54c5aa0e9ed992999fc4e_D20200811-20200811,0000320193,2020-08-11,2020-08-11,
i0bbec6a5787e4862b2c71218cfe8a698_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ib43fe780f2024050ac8fc4a679c43b9e_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i43328b197b6e4993a7cae70163482619_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
iffd46346aad744bba0d0f8f111707eef_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i622a654ef9a94deb80db71e88746fcc5_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ic3d4aa1e26f94d2b9f5bb5bf2a62827b_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ieda0316754f2410eadb72c4ab72dc1fd_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i75f36841873441e9ac2828d6a7874aae_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i9fcb9d2e13694b7a8fba15a17bf7f9af_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i22de55046d2446c88c072e3ca200f8ae_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ie0e3d9739bf64a4e984b1ccd744bf219_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ice0273c157db447ca9c3f9f0edd8851d_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i663328a7b31c411bb41ba88616160ff9_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i89b4199042644afaa70d40e46698be4f_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
id0bac7b645b54ec6a47023547f8a202d_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i193c086649484fe8bb5f7b126adffeaa_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i71b7029a133c46c3934e2aba5a53956b_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i0d5367276fd94ab88bb5754c5e6480ad_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
iceca22683a8a457586afe34bfa3755d6_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i29057fe4d6354066817fa236cf5759e0_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ic034ae620d7a4ef89fab947f1db9824a_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i0b836fcfe8ef4e2b9778c96c752552a3_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i827196c867b348bdb68c63d375c0a801_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i896e50ba5b18460a9a40653edad3c8c5_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ibbacf56c9e174e5bbc23c93a6a4a9f3d_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i620db91582de4686bbd6b907eb185b94_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
id8f120720be549ddbb42d95d888a33d8_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ia4aa3081904b43568b7421254b6c55e4_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
